Metric,Value
ir__drop__worst,0.0000032600000000000001277645524100368135123062529601156711578369140625
design__xor_difference__count,0
klayout__antenna_error__count,0
klayout__density_error__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
