Metric,Value
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,65
design__max_cap_violation__count__corner:max_ff_n40C_5v50,156
clock__skew__worst_hold__corner:max_ff_n40C_5v50,-0.5918314894563782
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.6830776138064675
timing__hold__ws__corner:max_ff_n40C_5v50,0.11202239453130768
timing__setup__ws__corner:max_ff_n40C_5v50,10.418127100333855
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.112022
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,18.919813
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,147
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,147
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_ff_n40C_5v50,4.99958
design_powergrid__drop__average__net:VDD__corner:nom_ff_n40C_5v50,4.99996
design_powergrid__drop__worst__net:VDD__corner:nom_ff_n40C_5v50,0.000415183
design_powergrid__voltage__worst__net:VSS__corner:nom_ff_n40C_5v50,0.00062263
design_powergrid__drop__average__net:VSS__corner:nom_ff_n40C_5v50,0.0000404381
design_powergrid__drop__worst__net:VSS__corner:nom_ff_n40C_5v50,0.00062263
design_powergrid__voltage__worst,0.00062263
design_powergrid__voltage__worst__net:VDD,4.99958
design_powergrid__drop__worst,0.00062263
design_powergrid__drop__worst__net:VDD,0.000415183
design_powergrid__voltage__worst__net:VSS,0.00062263
design_powergrid__drop__worst__net:VSS,0.00062263
ir__voltage__worst,5
ir__drop__avg,0.00004339999999999999782430981642988854218856431543827056884765625
ir__drop__worst,0.0004150000000000000043021142204224815941415727138519287109375
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
