Metric,Value
timing__unannotated_net__count__corner:min_ff_n40C_5v50,378
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,1239
design__max_fanout_violation__count__corner:max_tt_025C_5v00,1
design__max_cap_violation__count__corner:max_tt_025C_5v00,551
clock__skew__worst_hold__corner:max_tt_025C_5v00,-0.7280258824080604
clock__skew__worst_setup__corner:max_tt_025C_5v00,0.8973566588236809
timing__hold__ws__corner:max_tt_025C_5v00,0.27441938387283327
timing__setup__ws__corner:max_tt_025C_5v00,3.3952681627218406
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.274419
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,3.395268
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,378
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
design__max_slew_violation__count__corner:max_ss_125C_4v50,11421
design__max_fanout_violation__count__corner:max_ss_125C_4v50,1
design__max_cap_violation__count__corner:max_ss_125C_4v50,567
clock__skew__worst_hold__corner:max_ss_125C_4v50,-1.0975514141521687
clock__skew__worst_setup__corner:max_ss_125C_4v50,1.3946426630520765
timing__hold__ws__corner:max_ss_125C_4v50,0.21064039997339906
timing__setup__ws__corner:max_ss_125C_4v50,-9.60873718899738
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,-15536.55645978289
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,-9.60873718899738
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,0.762546
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,3300
timing__setup_r2r__ws__corner:max_ss_125C_4v50,-9.608737
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,3300
timing__unannotated_net__count__corner:max_ss_125C_4v50,378
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,31
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,1
design__max_cap_violation__count__corner:max_ff_n40C_5v50,546
clock__skew__worst_hold__corner:max_ff_n40C_5v50,-0.5637999116040403
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.6746985383580401
timing__hold__ws__corner:max_ff_n40C_5v50,0.06605649547656268
timing__setup__ws__corner:max_ff_n40C_5v50,8.710739931470371
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.066056
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,9.169532
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,378
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,378
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.99957
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.99997
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.000428938
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.000223756
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.0000316586
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.000223756
design_powergrid__voltage__worst,0.000223756
design_powergrid__voltage__worst__net:VDD,4.99957
design_powergrid__drop__worst,0.000428938
design_powergrid__drop__worst__net:VDD,0.000428938
design_powergrid__voltage__worst__net:VSS,0.000223756
design_powergrid__drop__worst__net:VSS,0.000223756
ir__voltage__worst,5
ir__drop__avg,0.0000335999999999999967854706628411776136999833397567272186279296875
ir__drop__worst,0.000429000000000000019338697310189445488504134118556976318359375
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
